exact_cx,exact_depth,subgraph_cx,subgraph_depth,diff_norm
100.0,298.0,157.0,233.0,0.010739423566534267
100.0,299.0,156.0,240.0,0.013406816015992643
100.0,299.0,197.0,301.0,0.009987558005175244
100.0,298.0,164.0,237.0,0.010829939033584033
100.0,301.0,124.0,199.0,0.01614419351075266
100.0,298.0,156.0,242.0,0.013193770442105604
100.0,299.0,123.0,188.0,0.010578126587432615
100.0,300.0,148.0,236.0,0.012597509565788593
100.0,299.0,89.0,134.0,0.011550122378822364
100.0,296.0,158.0,248.0,0.010929804917350197
100.0,299.0,158.0,237.0,0.011559552795820731
100.0,298.0,195.0,290.0,0.01035296246941328
100.0,300.0,124.0,198.0,0.01035703846928039
100.0,298.0,128.0,188.0,0.011154321750009901
100.0,296.0,159.0,250.0,0.010127354370912434
100.0,299.0,192.0,291.0,0.01037686042767392
100.0,299.0,155.0,247.0,0.011541602753719737
100.0,299.0,161.0,228.0,0.012594053397764298
100.0,296.0,161.0,256.0,0.013054781736689456
100.0,297.0,162.0,239.0,0.012706917815594024
100.0,298.0,194.0,277.0,0.01568760176139862
100.0,298.0,194.0,293.0,0.013401561064039233
100.0,301.0,155.0,236.0,0.012593610158149051
100.0,297.0,123.0,182.0,0.013555811995140962
100.0,297.0,158.0,243.0,0.011550451710694458
100.0,302.0,127.0,204.0,0.008672438679936624
100.0,298.0,159.0,236.0,0.010396158938295406
100.0,299.0,161.0,251.0,0.010654553949527893
100.0,297.0,159.0,241.0,0.013057700291974755
100.0,298.0,122.0,192.0,0.012708256045369607
100.0,295.0,158.0,245.0,0.01342045652789544
100.0,297.0,160.0,235.0,0.011167904910303506
100.0,301.0,128.0,194.0,0.010055930352382655
100.0,297.0,193.0,279.0,0.011178074892478181
100.0,297.0,121.0,188.0,0.012603814675996125
100.0,298.0,124.0,195.0,0.012589341195362879
100.0,300.0,123.0,188.0,0.013191297098457112
100.0,298.0,193.0,284.0,0.012223180074731136
100.0,299.0,156.0,241.0,0.013754966203766376
100.0,297.0,122.0,194.0,0.013401796360736523
100.0,298.0,131.0,193.0,0.010486658898208273
100.0,296.0,192.0,275.0,0.010845897323478118
100.0,300.0,153.0,242.0,0.01115264477432698
100.0,296.0,158.0,251.0,0.010922324775540084
100.0,301.0,159.0,241.0,0.01204065762877693
100.0,298.0,161.0,252.0,0.013060141650000188
100.0,297.0,190.0,285.0,0.01269768416411515
100.0,299.0,187.0,277.0,0.010731577329886126
100.0,297.0,128.0,192.0,0.010474972436234322
100.0,296.0,193.0,286.0,0.015998920025471052
100.0,301.0,125.0,199.0,0.011308346608339388
100.0,299.0,191.0,279.0,0.013430462800578887
100.0,302.0,92.0,140.0,0.012584486991112849
100.0,298.0,158.0,236.0,0.010029790731424515
100.0,301.0,162.0,242.0,0.012598313846559076
100.0,299.0,159.0,240.0,0.013404668729216007
100.0,297.0,125.0,188.0,0.012583630965619236
100.0,297.0,124.0,186.0,0.011195950927605003
100.0,298.0,126.0,201.0,0.012609867508352197
100.0,299.0,159.0,252.0,0.012701959787650003
100.0,299.0,161.0,243.0,0.013401838636417756
100.0,295.0,124.0,198.0,0.01117008249349656
100.0,298.0,122.0,199.0,0.011551830455748958
100.0,296.0,186.0,283.0,0.016058491304253325
100.0,300.0,151.0,225.0,0.01340041542698855
100.0,299.0,159.0,242.0,0.018596709297860895
100.0,300.0,122.0,195.0,0.016149740434547505
100.0,296.0,122.0,193.0,0.015693737582873322
100.0,298.0,91.0,146.0,0.015685082051896303
100.0,301.0,190.0,286.0,0.01536029713938267
100.0,301.0,192.0,275.0,0.012040276448163596
100.0,300.0,127.0,194.0,0.015684197192885958
100.0,300.0,196.0,298.0,0.009976691610921297
100.0,296.0,159.0,236.0,0.010068061746500118
100.0,298.0,154.0,235.0,0.015687377125800532
100.0,296.0,189.0,284.0,0.012038966826980862
100.0,299.0,155.0,233.0,0.01568790426829594
100.0,302.0,156.0,235.0,0.01402970869729346
100.0,300.0,157.0,240.0,0.012914326886901131
100.0,294.0,157.0,246.0,0.01860808839719548
100.0,302.0,123.0,204.0,0.012276232156264227
100.0,299.0,129.0,205.0,0.012880768557812478
100.0,303.0,157.0,235.0,0.014771883446274165
100.0,301.0,125.0,196.0,0.015334321556714957
100.0,300.0,96.0,149.0,0.01614557240223403
100.0,299.0,161.0,253.0,0.012745382554618037
100.0,298.0,186.0,287.0,0.013199317784846473
100.0,301.0,122.0,201.0,0.015361675763072498
100.0,296.0,190.0,285.0,0.015368213199036437
100.0,298.0,193.0,291.0,0.015728164840434374
100.0,300.0,155.0,235.0,0.01883122927588387
100.0,299.0,186.0,282.0,0.018828736898518595
100.0,299.0,91.0,149.0,0.019119641986706
100.0,301.0,187.0,287.0,0.014771962955079779
100.0,298.0,192.0,287.0,0.015676204316562317
100.0,297.0,166.0,243.0,0.013195684340942591
100.0,300.0,152.0,242.0,0.025012044364272342
100.0,298.0,158.0,234.0,0.012752083207923022
100.0,297.0,126.0,182.0,0.018826899809343975
100.0,298.0,183.0,286.0,0.016888292735860393
