exact_cx,exact_depth,subgraph_cx,subgraph_depth,diff_norm
100.0,298.0,133.0,202.0,0.01204952293605116
100.0,298.0,101.0,172.0,0.012590475691975208
100.0,292.0,101.0,147.0,0.012596234016826476
100.0,299.0,134.0,203.0,0.01115644468272667
100.0,296.0,167.0,251.0,0.009982777775274487
100.0,300.0,135.0,209.0,0.010348258814966734
100.0,300.0,136.0,198.0,0.010363137386845883
100.0,300.0,167.0,246.0,0.012038152324406588
96.0,287.0,168.0,247.0,0.010356981427566676
100.0,299.0,167.0,254.0,0.011159383630319089
